run_namespace,cap,horizon_hours,architecture,seed_index,seed,parameter_count,epochs,batch_size,checkpoint_epochs,execution_status,failure_code,sanitized_exception_class,training_runtime_s
p1_ieee_access_upgrade_v2,0.60,24,GRU,0,11,8257,20,256,5|10|15|20,completed,,,0.5739528
p1_ieee_access_upgrade_v2,0.60,24,LSTM,0,11,10993,20,256,5|10|15|20,completed,,,0.5454497
p1_ieee_access_upgrade_v2,0.60,24,DLinear,0,11,106,20,256,5|10|15|20,completed,,,0.4061751
p1_ieee_access_upgrade_v2,0.60,24,TCN,0,11,28273,20,256,5|10|15|20,completed,,,0.8463386
p1_ieee_access_upgrade_v2,0.60,24,GRU,1,23,8257,20,256,5|10|15|20,completed,,,0.5351803
p1_ieee_access_upgrade_v2,0.60,24,LSTM,1,23,10993,20,256,5|10|15|20,completed,,,0.5391333
p1_ieee_access_upgrade_v2,0.60,24,DLinear,1,23,106,20,256,5|10|15|20,completed,,,0.3883244
p1_ieee_access_upgrade_v2,0.60,24,TCN,1,23,28273,20,256,5|10|15|20,completed,,,0.8776812
p1_ieee_access_upgrade_v2,0.60,24,GRU,2,47,8257,20,256,5|10|15|20,completed,,,0.5380168
p1_ieee_access_upgrade_v2,0.60,24,LSTM,2,47,10993,20,256,5|10|15|20,completed,,,0.5389999
p1_ieee_access_upgrade_v2,0.60,24,DLinear,2,47,106,20,256,5|10|15|20,completed,,,0.3832582
p1_ieee_access_upgrade_v2,0.60,24,TCN,2,47,28273,20,256,5|10|15|20,completed,,,0.8509779
p1_ieee_access_upgrade_v2,0.60,24,GRU,3,59,8257,20,256,5|10|15|20,completed,,,0.5342568
p1_ieee_access_upgrade_v2,0.60,24,LSTM,3,59,10993,20,256,5|10|15|20,completed,,,0.5412049
p1_ieee_access_upgrade_v2,0.60,24,DLinear,3,59,106,20,256,5|10|15|20,completed,,,0.4318161
p1_ieee_access_upgrade_v2,0.60,24,TCN,3,59,28273,20,256,5|10|15|20,completed,,,0.9892875
p1_ieee_access_upgrade_v2,0.60,24,GRU,4,71,8257,20,256,5|10|15|20,completed,,,0.6044776
