doc_id,report_series_id,budget,variant,selected_sentence_ids,rouge1_f1,rouge2_f1,rougeL_f1,redundancy,overlap_with_full,overlap_with_historical_strict,normalized_vs_strict_changed
nerc_036_2022_state_of_reliability_report,series_state_of_reliability,5,normalized_no_path,s00124|s00150|s00262|s00577|s00646,0.20144790683034308,0.0415748031496063,0.08183821214982688,0.11868707790141939,0.6,1.0,0
nerc_036_2022_state_of_reliability_report,series_state_of_reliability,10,full,s00020|s00124|s00150|s00190|s00197|s00262|s00274|s00377|s00396|s00646,0.31237322515212984,0.07886343867787765,0.10953346855983773,0.06783758468635533,1.0,0.7,0
nerc_036_2022_state_of_reliability_report,series_state_of_reliability,10,historical_strict_no_path,s00020|s00124|s00132|s00150|s00190|s00262|s00377|s00577|s00614|s00646,0.3020892151326934,0.07288135593220339,0.09994353472614341,0.10130176150945534,0.7,1.0,0
nerc_036_2022_state_of_reliability_report,series_state_of_reliability,10,normalized_no_path,s00020|s00124|s00132|s00150|s00190|s00262|s00377|s00577|s00614|s00646,0.3020892151326934,0.07288135593220339,0.09994353472614341,0.10130176150945534,0.7,1.0,0
nerc_040_2018_state_of_reliability_report,series_state_of_reliability,5,full,s00141|s00144|s00930|s01151|s01325,0.17785051827605017,0.0425764192139738,0.06437534097108566,0.08243779649278596,1.0,0.8,0
nerc_040_2018_state_of_reliability_report,series_state_of_reliability,5,historical_strict_no_path,s00141|s00930|s01151|s01325|s01576,0.2239872915011914,0.05509933774834438,0.0751919512840879,0.056109224848271376,0.8,1.0,0
nerc_040_2018_state_of_reliability_report,series_state_of_reliability,5,normalized_no_path,s00141|s00930|s01151|s01325|s01576,0.2239872915011914,0.05509933774834438,0.0751919512840879,0.056109224848271376,0.8,1.0,0
nerc_040_2018_state_of_reliability_report,series_state_of_reliability,10,full,s00123|s00141|s00144|s00255|s00280|s00741|s00800|s00930|s01151|s01325,0.2824446067689311,0.06772228989037758,0.0900900900900901,0.07652456440743362,1.0,0.7,0
nerc_040_2018_state_of_reliability_report,series_state_of_reliability,10,historical_strict_no_path,s00019|s00123|s00141|s00255|s00280|s00930|s01151|s01325|s01576|s01648,0.33539192399049883,0.0865019011406844,0.10213776722090263,0.06434421877567392,0.7,1.0,0
nerc_040_2018_state_of_reliability_report,series_state_of_reliability,10,normalized_no_path,s00019|s00123|s00141|s00255|s00280|s00930|s01151|s01325|s01576|s01648,0.33539192399049883,0.0865019011406844,0.10213776722090263,0.06434421877567392,0.7,1.0,0
nerc_041_2017_state_of_reliability_report,series_state_of_reliability,5,full,s00405|s00914|s01021|s01088|s01152,0.23954642097802975,0.029808374733853796,0.0963855421686747,0.08112595579021241,1.0,0.6,0
nerc_041_2017_state_of_reliability_report,series_state_of_reliability,5,historical_strict_no_path,s00712|s00914|s01021|s01088|s01231,0.21106259097525473,0.023323615160349857,0.09024745269286755,0.0863970073135322,0.6,1.0,0
nerc_041_2017_state_of_reliability_report,series_state_of_reliability,5,normalized_no_path,s00712|s00914|s01021|s01088|s01231,0.21106259097525473,0.023323615160349857,0.09024745269286755,0.0863970073135322,0.6,1.0,0
nerc_041_2017_state_of_reliability_report,series_state_of_reliability,10,full,s00247|s00405|s00914|s01021|s01088|s01098|s01152|s01231|s01335|s01653,0.3365114974761638,0.04154969118472768,0.12899607403252944,0.07498632245833381,1.0,0.8,0
nerc_041_2017_state_of_reliability_report,series_state_of_reliability,10,historical_strict_no_path,s00247|s00405|s00712|s00914|s01021|s01046|s01088|s01098|s01231|s01335,0.3335186214563647,0.037840845854201444,0.12451361867704282,0.0873312287612381,0.8,1.0,0
nerc_041_2017_state_of_reliability_report,series_state_of_reliability,10,normalized_no_path,s00247|s00405|s00712|s00914|s01021|s01046|s01088|s01098|s01231|s01335,0.3335186214563647,0.037840845854201444,0.12451361867704282,0.0873312287612381,0.8,1.0,0
nerc_042_2016_state_of_reliability_report,series_state_of_reliability,5,full,s00417|s00663|s00790|s00994|s01060,0.30888575458392104,0.05790960451977402,0.11706629055007053,0.09675265268259524,1.0,0.8,0
nerc_042_2016_state_of_reliability_report,series_state_of_reliability,5,historical_strict_no_path,s00002|s00417|s00663|s00994|s01060,0.2930127723516153,0.06621519939804364,0.11119459053343349,0.09567832315934155,0.8,1.0,0
nerc_042_2016_state_of_reliability_report,series_state_of_reliability,5,normalized_no_path,s00002|s00417|s00663|s00994|s01060,0.2930127723516153,0.06621519939804364,0.11119459053343349,0.09567832315934155,0.8,1.0,0
nerc_042_2016_state_of_reliability_report,series_state_of_reliability,10,full,s00002|s00003|s00417|s00663|s00790|s00994|s01012|s01060|s01061|s01192,0.3608374384236453,0.07274969173859433,0.1330049261083744,0.1001093748100126,1.0,0.9,0
nerc_042_2016_state_of_reliability_report,series_state_of_reliability,10,historical_strict_no_path,s00002|s00003|s00231|s00417|s00663|s00790|s00994|s01012|s01060|s01061,0.36427320490367776,0.0771478667445938,0.12609457092819615,0.11253682268192519,0.9,1.0,0
nerc_042_2016_state_of_reliability_report,series_state_of_reliability,10,normalized_no_path,s00002|s00003|s00231|s00417|s00663|s00790|s00994|s01012|s01060|s01061,0.36427320490367776,0.0771478667445938,0.12609457092819615,0.11253682268192519,0.9,1.0,0
