paper,experiment_id,method,method_role,repeat,hypervolume_proxy,constraint_violation_rate,investment_cost_index,loss_index,voltage_risk,hosting_capacity,reliability_proxy,survivability_rate,expected_loss_index,portfolio_size,runtime_s,source_status
p4,load_uncertainty,Ablation-NoOutage,ablation,3,0.79363417,0.02084367,0.87449543,0.12333102,0.18084367,0.00033015,1.00000000,1.00000000,0.12333102,10,0.00005750,public_simbench_planning_v1
p4,outage_contingency,SHIELD-MOEA,proposed,1,0.78016326,0.01787477,0.87162378,0.13058365,0.17787477,0.00000000,1.00000000,0.94000000,0.13293416,11,0.00006550,public_simbench_planning_v1
p4,outage_contingency,SHIELD-MOEA,proposed,2,0.78016326,0.01787477,0.87162378,0.13058365,0.17787477,0.00000000,1.00000000,0.94000000,0.13293416,11,0.00006430,public_simbench_planning_v1
p4,outage_contingency,SHIELD-MOEA,proposed,3,0.78016326,0.01787477,0.87162378,0.13058365,0.17787477,0.00000000,1.00000000,0.94000000,0.13293416,11,0.00006310,public_simbench_planning_v1
p4,outage_contingency,NSGA-II,baseline,1,0.77635229,0.01995922,0.79238525,0.13085521,0.17995922,0.00000000,1.00000000,0.94000000,0.13321060,10,0.00005680,public_simbench_planning_v1
p4,outage_contingency,NSGA-II,baseline,2,0.77635229,0.01995922,0.79238525,0.13085521,0.17995922,0.00000000,1.00000000,0.94000000,0.13321060,10,0.00005590,public_simbench_planning_v1
p4,outage_contingency,NSGA-II,baseline,3,0.77635229,0.01995922,0.79238525,0.13085521,0.17995922,0.00000000,1.00000000,0.94000000,0.13321060,10,0.00005650,public_simbench_planning_v1
p4,outage_contingency,MOEA/D,baseline,1,0.77635229,0.01995922,0.79238525,0.13085521,0.17995922,0.00000000,1.00000000,0.94000000,0.13321060,10,0.00005610,public_simbench_planning_v1
p4,outage_contingency,MOEA/D,baseline,2,0.77635229,0.01995922,0.79238525,0.13085521,0.17995922,0.00000000,1.00000000,0.94000000,0.13321060,10,0.00005620,public_simbench_planning_v1
p4,outage_contingency,MOEA/D,baseline,3,0.77635229,0.01995922,0.79238525,0.13085521,0.17995922,0.00000000,1.00000000,0.94000000,0.13321060,10,0.00005620,public_simbench_planning_v1
p4,outage_contingency,GA,baseline,1,0.77255809,0.02204367,0.71314673,0.13112676,0.18204367,0.00000000,1.00000000,0.94000000,0.13348704,9,0.00008670,public_simbench_planning_v1
p4,outage_contingency,GA,baseline,2,0.77272383,0.02292812,0.79525690,0.12976912,0.18292812,0.00033015,1.00000000,0.94000000,0.13210497,9,0.00008640,public_simbench_planning_v1
p4,outage_contingency,GA,baseline,3,0.70651591,0.02269144,0.69384061,0.13120350,0.18269144,0.00000330,0.84392560,0.91236554,0.13465289,9,0.00008660,public_simbench_planning_v1
p4,outage_contingency,Weighted Sum,baseline,1,0.44567707,0.03240373,0.43017204,0.13229881,0.19240373,0.00000722,0.40454356,0.47854255,0.15299528,7,0.00005980,public_simbench_planning_v1
p4,outage_contingency,Weighted Sum,baseline,2,0.44567707,0.03240373,0.43017204,0.13229881,0.19240373,0.00000722,0.40454356,0.47854255,0.15299528,7,0.00005830,public_simbench_planning_v1
p4,outage_contingency,Weighted Sum,baseline,3,0.44567707,0.03240373,0.43017204,0.13229881,0.19240373,0.00000722,0.40454356,0.47854255,0.15299528,7,0.00005820,public_simbench_planning_v1
p4,outage_contingency,Deterministic Planning,baseline,1,0.44567707,0.03240373,0.43017204,0.13229881,0.19240373,0.00000722,0.40454356,0.47854255,0.15299528,7,0.00005980,public_simbench_planning_v1
p4,outage_contingency,Deterministic Planning,baseline,2,0.44567707,0.03240373,0.43017204,0.13229881,0.19240373,0.00000722,0.40454356,0.47854255,0.15299528,7,0.00005980,public_simbench_planning_v1
p4,outage_contingency,Deterministic Planning,baseline,3,0.44567707,0.03240373,0.43017204,0.13229881,0.19240373,0.00000722,0.40454356,0.47854255,0.15299528,7,0.00005950,public_simbench_planning_v1
p4,outage_contingency,Ablation-NoScenarioScreen,ablation,1,0.77255809,0.02204367,0.71314673,0.13112676,0.18204367,0.00000000,1.00000000,0.94000000,0.13348704,9,0.00005780,public_simbench_planning_v1
p4,outage_contingency,Ablation-NoScenarioScreen,ablation,2,0.77255809,0.02204367,0.71314673,0.13112676,0.18204367,0.00000000,1.00000000,0.94000000,0.13348704,9,0.00005700,public_simbench_planning_v1
p4,outage_contingency,Ablation-NoScenarioScreen,ablation,3,0.77255809,0.02204367,0.71314673,0.13112676,0.18204367,0.00000000,1.00000000,0.94000000,0.13348704,9,0.00006150,public_simbench_planning_v1
p4,outage_contingency,Ablation-NoRepair,ablation,1,0.77635229,0.01995922,0.79238525,0.13085521,0.17995922,0.00000000,1.00000000,0.94000000,0.13321060,10,0.00005920,public_simbench_planning_v1
p4,outage_contingency,Ablation-NoRepair,ablation,2,0.77635229,0.01995922,0.79238525,0.13085521,0.17995922,0.00000000,1.00000000,0.94000000,0.13321060,10,0.00005810,public_simbench_planning_v1
p4,outage_contingency,Ablation-NoRepair,ablation,3,0.77635229,0.01995922,0.79238525,0.13085521,0.17995922,0.00000000,1.00000000,0.94000000,0.13321060,10,0.00005780,public_simbench_planning_v1
p4,outage_contingency,Ablation-NoResilienceObj,ablation,1,0.77650803,0.02084367,0.87396879,0.12950520,0.18084367,0.00032703,1.00000000,0.94000000,0.13183629,10,0.00006310,public_simbench_planning_v1
p4,outage_contingency,Ablation-NoResilienceObj,ablation,2,0.77667252,0.02172812,0.95607897,0.12814756,0.18172812,0.00065718,1.00000000,0.94000000,0.13045422,10,0.00006310,public_simbench_planning_v1
p4,outage_contingency,Ablation-NoResilienceObj,ablation,3,0.77667252,0.02172812,0.95607897,0.12814756,0.18172812,0.00065718,1.00000000,0.94000000,0.13045422,10,0.00006310,public_simbench_planning_v1
p4,outage_contingency,Ablation-NoOutage,ablation,1,0.77635229,0.01995922,0.79238525,0.13085521,0.17995922,0.00000000,1.00000000,0.94000000,0.13321060,10,0.00005820,public_simbench_planning_v1
