dataset,horizon_hours,method,method_role,seed,mae,rmse,mape,smape,normalized_mae,peak_load_error,runtime_s,train_samples,test_samples,source_status
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-FixedCurvature (neural),ablation,127,0.05630608,0.09415983,0.35830174,0.28068455,0.06111991,0.10588576,2.5523,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-FixedCurvature (neural),ablation,139,0.05573366,0.09323923,0.37125876,0.26693693,0.06049856,0.10351334,2.7517,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-TemporalOnly (neural),ablation,59,0.05353689,0.09263283,0.34321021,0.28689698,0.05811397,0.09953546,1.9555,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-TemporalOnly (neural),ablation,71,0.05488232,0.09483473,0.36628301,0.25679164,0.05957443,0.09095244,1.8644,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-TemporalOnly (neural),ablation,83,0.06006714,0.09942176,0.40127582,0.27154885,0.06520252,0.09221515,1.8849,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-TemporalOnly (neural),ablation,97,0.05343041,0.09283791,0.35093726,0.25232253,0.05799839,0.09114541,1.8636,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-TemporalOnly (neural),ablation,109,0.05983530,0.09795926,0.38318557,0.30676540,0.06495087,0.11118388,1.9335,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-TemporalOnly (neural),ablation,127,0.05532845,0.09498273,0.36743977,0.25887131,0.06005870,0.09607455,1.8804,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-TemporalOnly (neural),ablation,139,0.05635913,0.09627036,0.38123536,0.25164190,0.06117750,0.09228751,1.8704,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-NoCalendar (neural),ablation,59,0.05486047,0.09369247,0.37246425,0.25783329,0.05955071,0.09363287,2.4997,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-NoCalendar (neural),ablation,71,0.05469006,0.09300578,0.36479071,0.27613165,0.05936573,0.09646539,2.6068,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-NoCalendar (neural),ablation,83,0.05879363,0.09794180,0.37881314,0.31774090,0.06382014,0.12050433,2.5511,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-NoCalendar (neural),ablation,97,0.05890090,0.09736682,0.38559033,0.28113177,0.06393657,0.09770421,2.5095,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-NoCalendar (neural),ablation,109,0.05837840,0.09754137,0.39329499,0.28923176,0.06336941,0.09616201,2.5403,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-NoCalendar (neural),ablation,127,0.06082683,0.09945390,0.40282472,0.28794846,0.06602716,0.10414592,2.6373,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-NoCalendar (neural),ablation,139,0.06073749,0.09879688,0.42794464,0.33800066,0.06593018,0.09584205,2.5393,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-EqualNeighbors (neural),ablation,59,0.05502338,0.09419441,0.37850756,0.25723001,0.05972755,0.08360018,2.3044,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-EqualNeighbors (neural),ablation,71,0.05390373,0.09217979,0.34941792,0.26148310,0.05851218,0.10184306,2.4110,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-EqualNeighbors (neural),ablation,83,0.05762388,0.09541412,0.39100619,0.26104497,0.06255038,0.09413018,2.4182,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-EqualNeighbors (neural),ablation,97,0.05516263,0.09213018,0.36633385,0.30116036,0.05987870,0.09969359,2.3323,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-EqualNeighbors (neural),ablation,109,0.05861541,0.09621849,0.38139346,0.27487591,0.06362668,0.10354166,2.2340,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-EqualNeighbors (neural),ablation,127,0.05250847,0.09048817,0.33104389,0.27106737,0.05699763,0.10160037,2.3694,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,Ablation-EqualNeighbors (neural),ablation,139,0.05561686,0.09303737,0.37132959,0.26897275,0.06037177,0.10343814,2.4168,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,MLP,baseline,59,0.05446709,0.09345198,0.35842124,0.23920808,0.05912370,0.09233609,0.6971,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,MLP,baseline,71,0.05363318,0.09174278,0.34194171,0.25651559,0.05821850,0.10793837,0.7171,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,MLP,baseline,83,0.05343563,0.09197227,0.34955315,0.27564654,0.05800405,0.10188189,0.7072,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,MLP,baseline,97,0.05525339,0.09325653,0.37641583,0.27929649,0.05997723,0.09919205,0.7044,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,MLP,baseline,109,0.05405637,0.09266356,0.35915234,0.24699646,0.05867787,0.10001439,0.6737,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,MLP,baseline,127,0.05430343,0.09238056,0.36070233,0.25527804,0.05894605,0.10105680,0.7109,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
SimBench 1-complete_data-mixed-all-0-sw LoadProfile hourly pload,24,MLP,baseline,139,0.05337709,0.09204654,0.34913683,0.26937976,0.05794051,0.09855355,0.6635,15904,20832,public_data_benchmark_v7_seed_significance_ausgrid
