dataset,horizon_hours,method,method_role,seed,reconciliation,hierarchy_weighted_smape,leaf_smape,region_smape,system_smape,leaf_mae,region_mae,system_mae,coherence_violation,runtime_s,train_samples,test_samples,source_status
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,109,Base,0.28891260,0.41463264,0.27550099,0.17660418,0.51726019,1.05253833,2.72823324,0.04258586,2.0915,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,109,Bottom-Up,0.29158605,0.41463264,0.27883662,0.18128889,0.51726019,1.06622813,2.81814995,0.00000000,2.0915,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,109,Top-Down,0.36124334,0.56168846,0.34543738,0.17660418,0.70317087,1.32414379,2.72823324,0.00000000,2.0915,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,109,OLS-Reconciled,0.28644871,0.40851612,0.27426698,0.17656304,0.51025182,1.04657694,2.73087618,0.00000000,2.0915,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,127,Base,0.29235709,0.41653787,0.28002242,0.18051099,0.51863156,1.06451919,2.76991339,0.04727506,2.1186,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,127,Bottom-Up,0.29184045,0.41653787,0.27923628,0.17974720,0.51863156,1.06327957,2.77859649,0.00000000,2.1186,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,127,Top-Down,0.36486611,0.56462414,0.34946322,0.18051099,0.70606492,1.33454126,2.76991339,0.00000000,2.1186,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,127,OLS-Reconciled,0.29266097,0.41768082,0.28092283,0.17937926,0.51941107,1.06473063,2.75697931,0.00000000,2.1186,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,139,Base,0.29363458,0.41940703,0.28147566,0.18002103,0.52249363,1.06741929,2.75662896,0.04112291,2.1447,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,Ablation-EuclideanGraph (neural),ablation,139,Bottom-Up,0.29444193,0.41940703,0.28190388,0.18201488,0.52249363,1.07311688,2.81328001,0.00000000,2.1447,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
