scenario,method,seed_index,legacy_hypervolume,rerun_hypervolume,exact_at_archived_precision
budget_ranking_stability,Ablation-NoPreferenceRanking,20,0.17088537,0.17088537,True
budget_ranking_stability,Ablation-NoPreferenceRanking,21,0.17066992,0.17066992,True
budget_ranking_stability,Ablation-NoPreferenceRanking,22,0.17320923,0.17320923,True
budget_ranking_stability,Ablation-NoPreferenceRanking,23,0.17296558,0.17296558,True
budget_ranking_stability,Ablation-NoPreferenceRanking,24,0.16889103,0.16889103,True
budget_ranking_stability,Ablation-NoPreferenceRanking,25,0.17242761,0.17242761,True
budget_ranking_stability,Ablation-NoPreferenceRanking,26,0.17249740,0.17249740,True
budget_ranking_stability,Ablation-NoPreferenceRanking,27,0.16988842,0.16988842,True
budget_ranking_stability,Ablation-NoPreferenceRanking,28,0.17417857,0.17417857,True
budget_ranking_stability,Ablation-NoPreferenceRanking,29,0.17076592,0.17076592,True
budget_ranking_stability,AHP-TOPSIS,0,0.13248143,0.13248143,True
budget_ranking_stability,Weighted Sum,0,0.03349456,0.03349456,True
budget_ranking_stability,Greedy BCR,0,0.03802718,0.03802718,True
preference_aware_support,TRACE-MOEA,0,0.17624768,0.17624768,True
preference_aware_support,TRACE-MOEA,1,0.17785026,0.17785026,True
preference_aware_support,TRACE-MOEA,2,0.17148495,0.17148495,True
preference_aware_support,TRACE-MOEA,3,0.17270149,0.17270149,True
preference_aware_support,TRACE-MOEA,4,0.17468297,0.17468297,True
preference_aware_support,TRACE-MOEA,5,0.17658891,0.17658891,True
preference_aware_support,TRACE-MOEA,6,0.17095535,0.17095535,True
preference_aware_support,TRACE-MOEA,7,0.17899662,0.17899662,True
preference_aware_support,TRACE-MOEA,8,0.17638621,0.17638621,True
preference_aware_support,TRACE-MOEA,9,0.17611164,0.17611164,True
preference_aware_support,TRACE-MOEA,10,0.17607355,0.17607355,True
preference_aware_support,TRACE-MOEA,11,0.17437218,0.17437218,True
preference_aware_support,TRACE-MOEA,12,0.17515353,0.17515353,True
preference_aware_support,TRACE-MOEA,13,0.17384814,0.17384814,True
preference_aware_support,TRACE-MOEA,14,0.17559327,0.17559327,True
preference_aware_support,TRACE-MOEA,15,0.17505726,0.17505726,True
preference_aware_support,TRACE-MOEA,16,0.17560960,0.17560960,True
preference_aware_support,TRACE-MOEA,17,0.17385035,0.17385035,True
preference_aware_support,TRACE-MOEA,18,0.17918502,0.17918502,True
preference_aware_support,TRACE-MOEA,19,0.17503861,0.17503861,True
preference_aware_support,TRACE-MOEA,20,0.17379386,0.17379386,True
preference_aware_support,TRACE-MOEA,21,0.17485038,0.17485038,True
preference_aware_support,TRACE-MOEA,22,0.17497313,0.17497313,True
preference_aware_support,TRACE-MOEA,23,0.17260586,0.17260586,True
preference_aware_support,TRACE-MOEA,24,0.17463370,0.17463370,True
preference_aware_support,TRACE-MOEA,25,0.17534612,0.17534612,True
preference_aware_support,TRACE-MOEA,26,0.17756420,0.17756420,True
preference_aware_support,TRACE-MOEA,27,0.17307178,0.17307178,True
preference_aware_support,TRACE-MOEA,28,0.17370887,0.17370887,True
preference_aware_support,TRACE-MOEA,29,0.17723490,0.17723490,True
preference_aware_support,Ablation-NoPreferenceRanking,0,0.17391939,0.17391939,True
preference_aware_support,Ablation-NoPreferenceRanking,1,0.17400548,0.17400548,True
preference_aware_support,Ablation-NoPreferenceRanking,2,0.17265658,0.17265658,True
preference_aware_support,Ablation-NoPreferenceRanking,3,0.17366726,0.17366726,True
preference_aware_support,Ablation-NoPreferenceRanking,4,0.17346826,0.17346826,True
preference_aware_support,Ablation-NoPreferenceRanking,5,0.17679235,0.17679235,True
preference_aware_support,Ablation-NoPreferenceRanking,6,0.17535779,0.17535779,True
preference_aware_support,Ablation-NoPreferenceRanking,7,0.17495867,0.17495867,True
preference_aware_support,Ablation-NoPreferenceRanking,8,0.17401276,0.17401276,True
preference_aware_support,Ablation-NoPreferenceRanking,9,0.17268926,0.17268926,True
