dataset,horizon_hours,method,method_role,seed,curtailment_mae,curtailment_rmse,event_recall,event_precision,event_f1,onset_f1,onset_precision,onset_recall,onset_mae,cessation_f1,detection_threshold,n_onsets_test,stress_subset_mae,n_test,n_events,runtime_s,source_status
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-NoSiamese,ablation,8,0.01281050,0.03654818,0.447368,0.686869,0.541833,0.089172,0.054475,0.245614,0.04880844,0.031301,0.042743,57,0.03528196,2628,152,11.3281,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-NoSiamese,ablation,9,0.01281050,0.03654818,0.447368,0.686869,0.541833,0.089172,0.054475,0.245614,0.04880844,0.031301,0.042743,57,0.03528196,2628,152,11.3253,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-NoRetrievalBank,ablation,0,0.01126825,0.02751582,0.552632,0.893617,0.682927,0.160878,0.089796,0.771930,0.04464790,0.000911,0.019608,57,0.02882172,2628,152,5.6549,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-NoRetrievalBank,ablation,1,0.01153667,0.02658276,0.585526,0.898990,0.709163,0.170370,0.095238,0.807018,0.04389506,0.005450,0.019988,57,0.02780261,2628,152,5.6554,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-NoRetrievalBank,ablation,2,0.01346855,0.02753236,0.644737,0.771654,0.702509,0.167273,0.093306,0.807018,0.04021217,0.000000,0.033003,57,0.03319144,2628,152,5.6873,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-NoRetrievalBank,ablation,3,0.01346653,0.02964916,0.546053,0.864583,0.669355,0.143911,0.080412,0.684211,0.04304486,0.000909,0.026302,57,0.03214639,2628,152,5.6640,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-NoRetrievalBank,ablation,4,0.01162375,0.02581912,0.657895,0.813008,0.727273,0.173913,0.098592,0.736842,0.04012751,0.000885,0.033725,57,0.03006907,2628,152,5.6428,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-NoRetrievalBank,ablation,5,0.01381391,0.03053192,0.578947,0.854369,0.690196,0.153846,0.085028,0.807018,0.04146071,0.000000,0.027385,57,0.03568223,2628,152,5.7100,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-NoRetrievalBank,ablation,6,0.01073766,0.02592614,0.578947,0.854369,0.690196,0.171533,0.095723,0.824561,0.04212138,0.000912,0.021623,57,0.02806102,2628,152,5.6741,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-NoRetrievalBank,ablation,7,0.01271767,0.02802651,0.598684,0.875000,0.710938,0.154374,0.085551,0.789474,0.04229318,0.000926,0.023045,57,0.03176664,2628,152,5.6935,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-NoRetrievalBank,ablation,8,0.01120100,0.02649235,0.565789,0.886598,0.690763,0.164609,0.093240,0.701754,0.04118113,0.002660,0.029397,57,0.02862623,2628,152,5.7099,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-NoRetrievalBank,ablation,9,0.01423842,0.02936100,0.572368,0.861386,0.687747,0.170284,0.094096,0.894737,0.04010954,0.000933,0.028867,57,0.03530831,2628,152,5.7840,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-SmallBank,ablation,0,0.01534389,0.05431868,0.000000,0.000000,0.000000,0.042458,0.021689,1.000000,0.06937456,0.000000,0.000000,57,0.04431182,2628,152,5.7278,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-SmallBank,ablation,1,0.01534389,0.05431868,0.000000,0.000000,0.000000,0.042458,0.021689,1.000000,0.06937456,0.000000,0.000000,57,0.04431182,2628,152,5.6437,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-SmallBank,ablation,2,0.01534389,0.05431868,0.000000,0.000000,0.000000,0.042458,0.021689,1.000000,0.06937456,0.000000,0.000000,57,0.04431182,2628,152,5.7838,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-SmallBank,ablation,3,0.01534389,0.05431868,0.000000,0.000000,0.000000,0.042458,0.021689,1.000000,0.06937456,0.000000,0.000000,57,0.04431182,2628,152,5.6979,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-SmallBank,ablation,4,0.01534389,0.05431868,0.000000,0.000000,0.000000,0.042458,0.021689,1.000000,0.06937456,0.000000,0.000000,57,0.04431182,2628,152,5.6902,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-SmallBank,ablation,5,0.01534389,0.05431868,0.000000,0.000000,0.000000,0.042458,0.021689,1.000000,0.06937456,0.000000,0.000000,57,0.04431182,2628,152,5.7241,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-SmallBank,ablation,6,0.01534389,0.05431868,0.000000,0.000000,0.000000,0.042458,0.021689,1.000000,0.06937456,0.000000,0.000000,57,0.04431182,2628,152,5.6997,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-SmallBank,ablation,7,0.01534389,0.05431868,0.000000,0.000000,0.000000,0.042458,0.021689,1.000000,0.06937456,0.000000,0.000000,57,0.04431182,2628,152,5.7155,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-SmallBank,ablation,8,0.01534389,0.05431868,0.000000,0.000000,0.000000,0.042458,0.021689,1.000000,0.06937456,0.000000,0.000000,57,0.04431182,2628,152,5.6797,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-SmallBank,ablation,9,0.01534389,0.05431868,0.000000,0.000000,0.000000,0.042458,0.021689,1.000000,0.06937456,0.000000,0.000000,57,0.04431182,2628,152,5.7057,public_rts_curtailment_v6_modern_temporal_controls
