experiment,budget_multiplier,method,seed,hypervolume,preference_achievement_distance,feasible_front_size,trace_event_count,runtime_s,source_status
preference_aware_support,1.00,TRACE-MOEA,24,0.17294937,0.52999306,38,1150,0.125070,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,TRACE-MOEA,25,0.17723645,0.52176344,39,1144,0.124723,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,TRACE-MOEA,26,0.17574788,0.52544595,39,1085,0.124412,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,TRACE-MOEA,27,0.17566117,0.52446849,38,1162,0.126743,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,TRACE-MOEA,28,0.17193670,0.52834226,39,1372,0.125946,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,TRACE-MOEA,29,0.17494735,0.52353611,39,1135,0.125352,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,R-NSGA-II,0,0.11060641,0.54212964,40,0,0.208110,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,R-NSGA-II,1,0.13505962,0.53032014,40,0,0.210551,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,R-NSGA-II,2,0.12923341,0.52800203,40,0,0.209520,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,R-NSGA-II,3,0.14380285,0.52838426,40,0,0.207589,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,R-NSGA-II,4,0.12883585,0.52776968,40,0,0.209133,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,R-NSGA-II,5,0.16000098,0.52713119,40,0,0.209190,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,R-NSGA-II,6,0.12153093,0.53217374,40,0,0.207977,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,R-NSGA-II,7,0.10828586,0.54383216,40,0,0.211809,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,R-NSGA-II,8,0.12966014,0.53057944,40,0,0.208103,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,R-NSGA-II,9,0.11206567,0.54457033,40,0,0.210177,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,R-NSGA-II,10,0.11231782,0.54182830,40,0,0.209694,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,R-NSGA-II,11,0.09261377,0.57276814,40,0,0.214049,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,R-NSGA-II,12,0.14202547,0.52974507,40,0,0.210082,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,R-NSGA-II,13,0.10456533,0.55066306,40,0,0.211639,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,R-NSGA-II,14,0.15052639,0.53031414,40,0,0.209708,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,R-NSGA-II,15,0.11775201,0.53706901,40,0,0.216266,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,R-NSGA-II,16,0.13217490,0.53072293,40,0,0.211526,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,R-NSGA-II,17,0.13864411,0.53052931,40,0,0.213038,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,R-NSGA-II,18,0.13290133,0.53151556,40,0,0.211037,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,R-NSGA-II,19,0.11001200,0.54390559,40,0,0.212031,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,R-NSGA-II,20,0.13074832,0.52728145,40,0,0.209747,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,R-NSGA-II,21,0.12730171,0.52907849,40,0,0.209394,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,R-NSGA-II,22,0.15879003,0.52956376,40,0,0.211543,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,R-NSGA-II,23,0.11904276,0.52928107,40,0,0.209506,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,R-NSGA-II,24,0.12045291,0.52801689,40,0,0.210215,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,R-NSGA-II,25,0.15026550,0.52697728,40,0,0.209682,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,R-NSGA-II,26,0.13435071,0.53147373,40,0,0.210064,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,R-NSGA-II,27,0.14618761,0.53049120,40,0,0.208734,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,R-NSGA-II,28,0.14182986,0.52909254,40,0,0.210985,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,R-NSGA-II,29,0.11713081,0.53395893,40,0,0.210042,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,NSGA-II,0,0.17665393,0.52573939,40,0,0.158571,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,NSGA-II,1,0.16610902,0.53474152,40,0,0.161128,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,NSGA-II,2,0.17102075,0.52794976,40,0,0.159454,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,NSGA-II,3,0.17423098,0.53263937,40,0,0.160473,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,NSGA-II,4,0.17330508,0.53177784,40,0,0.158409,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,NSGA-II,5,0.17337229,0.52882900,40,0,0.156271,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,NSGA-II,6,0.17179773,0.52773064,40,0,0.164100,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,NSGA-II,7,0.17367650,0.52965537,40,0,0.159065,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,NSGA-II,8,0.17414119,0.52965932,40,0,0.160889,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,NSGA-II,9,0.17797675,0.53154948,40,0,0.159437,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,NSGA-II,10,0.17414001,0.52922680,40,0,0.158153,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,NSGA-II,11,0.17333417,0.53220812,40,0,0.159500,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,NSGA-II,12,0.17110519,0.52971139,40,0,0.157653,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,NSGA-II,13,0.17207490,0.53013853,40,0,0.158552,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,NSGA-II,14,0.17245125,0.52740401,40,0,0.158735,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,NSGA-II,15,0.17185509,0.52780964,40,0,0.161312,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,NSGA-II,16,0.17417733,0.52652776,40,0,0.158704,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,NSGA-II,17,0.17263676,0.53160257,40,0,0.158180,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,NSGA-II,18,0.17096123,0.53252908,40,0,0.157675,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,NSGA-II,19,0.17520924,0.52790925,40,0,0.158581,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,NSGA-II,20,0.17269145,0.53550866,40,0,0.158334,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,NSGA-II,21,0.17540863,0.52629204,40,0,0.159685,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,NSGA-II,22,0.17458691,0.53057712,40,0,0.157288,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,NSGA-II,23,0.17153791,0.53436099,40,0,0.158343,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,NSGA-II,24,0.17307026,0.53180177,40,0,0.158467,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,NSGA-II,25,0.17512159,0.52801199,40,0,0.159503,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,NSGA-II,26,0.16058076,0.53272904,40,0,0.157205,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,NSGA-II,27,0.17549926,0.52942863,40,0,0.157782,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,NSGA-II,28,0.17730488,0.52820059,40,0,0.158655,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.00,NSGA-II,29,0.17529746,0.52972447,40,0,0.157881,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,TRACE-MOEA,0,0.17560252,0.52584470,39,1062,0.125464,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,TRACE-MOEA,1,0.17590904,0.52290810,39,1016,0.123470,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,TRACE-MOEA,2,0.17889102,0.52207894,39,995,0.128070,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,TRACE-MOEA,3,0.17345499,0.52483974,39,954,0.122746,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,TRACE-MOEA,4,0.18074886,0.52334716,39,1092,0.123286,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,TRACE-MOEA,5,0.17818200,0.52364728,38,1189,0.126927,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,TRACE-MOEA,6,0.18017598,0.52494341,39,897,0.124634,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,TRACE-MOEA,7,0.17599369,0.52495613,38,1110,0.123812,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,TRACE-MOEA,8,0.18025642,0.52445088,39,1043,0.125532,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,TRACE-MOEA,9,0.17838776,0.52017115,37,1015,0.123387,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,TRACE-MOEA,10,0.17822553,0.52138056,39,1084,0.123981,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,TRACE-MOEA,11,0.17918261,0.52202557,38,1056,0.123873,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,TRACE-MOEA,12,0.17913107,0.52083939,38,1035,0.122633,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,TRACE-MOEA,13,0.17780674,0.52556856,39,987,0.124917,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,TRACE-MOEA,14,0.17978404,0.52438339,37,1066,0.125850,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,TRACE-MOEA,15,0.17891623,0.52192855,37,1138,0.124306,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,TRACE-MOEA,16,0.17867265,0.52128689,39,933,0.123893,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,TRACE-MOEA,17,0.18257940,0.52018503,39,1029,0.123291,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,TRACE-MOEA,18,0.18050920,0.51980649,39,1097,0.125239,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,TRACE-MOEA,19,0.17964556,0.52319079,38,875,0.124482,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,TRACE-MOEA,20,0.17481290,0.52402010,39,915,0.123369,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,TRACE-MOEA,21,0.18262004,0.52372394,39,940,0.123038,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,TRACE-MOEA,22,0.17849663,0.52215758,40,995,0.125418,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,TRACE-MOEA,23,0.17766778,0.52698361,38,1056,0.123780,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,TRACE-MOEA,24,0.17813719,0.52490378,39,1034,0.125842,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,TRACE-MOEA,25,0.17914227,0.52210752,39,1140,0.124888,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,TRACE-MOEA,26,0.17568551,0.52361740,39,1083,0.125278,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,TRACE-MOEA,27,0.17885688,0.52155343,39,953,0.123080,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,TRACE-MOEA,28,0.17911356,0.52421640,39,1061,0.125170,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,TRACE-MOEA,29,0.17803377,0.52574281,39,1184,0.125811,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,R-NSGA-II,0,0.12889472,0.52617714,40,0,0.213458,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,R-NSGA-II,1,0.14080355,0.52467822,40,0,0.208822,public_p5_preference_budget_v1_rnsga2
preference_aware_support,1.25,R-NSGA-II,2,0.11152558,0.54341321,40,0,0.208971,public_p5_preference_budget_v1_rnsga2
