paper,experiment_id,method,method_role,seed,hypervolume,feasible_front_size,compromise_cost_index,compromise_reliability,compromise_renewable,compromise_risk,portfolio_size,local_move_count,trace_event_count,decision_coverage,preference_achievement_distance,runtime_s,source_status
p5,benchmark_portfolio_optimization,MOEA/D,baseline,9,0.02154205,3,0.07168448,0.19055556,20.40493684,0.18840000,1,0,0,0.00000000,0.85256622,0.383788,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,MOEA/D,baseline,10,0.02524531,3,0.05508621,0.32526118,0.44520000,0.14840000,1,0,0,0.00000000,0.84944915,0.380696,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,MOEA/D,baseline,11,0.02154196,2,0.07168448,0.19055556,20.40493684,0.18840000,1,0,0,0.00000000,0.85256622,0.384061,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,MOEA/D,baseline,12,0.02154199,3,0.07168448,0.19055556,20.40493684,0.18840000,1,0,0,0.00000000,0.85256622,0.385355,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,MOEA/D,baseline,13,0.02154208,3,0.07168448,0.19055556,20.40493684,0.18840000,1,0,0,0.00000000,0.85256622,0.393794,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,MOEA/D,baseline,14,0.02154208,3,0.07168448,0.19055556,20.40493684,0.18840000,1,0,0,0.00000000,0.85256622,0.389867,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,MOEA/D,baseline,15,0.02294830,3,0.14237931,0.38111111,38.08747368,0.18840000,2,0,0,0.00000000,0.84518341,0.390160,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,MOEA/D,baseline,16,0.02154196,2,0.07168448,0.19055556,20.40493684,0.18840000,1,0,0,0.00000000,0.85256622,0.384948,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,MOEA/D,baseline,17,0.02594911,4,0.05508621,0.32526118,0.44520000,0.14840000,1,0,0,0.00000000,0.84500707,0.393323,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,MOEA/D,baseline,18,0.02294832,3,0.14237931,0.38111111,38.08747368,0.18840000,2,0,0,0.00000000,0.84518341,0.384632,public_rts_simbench_nerc_project_review_v3_direct_family_controls
